ID,Text,Voice?
11," Hi guys, this is Wanna Give You 3 Quick Tips on how to prepare for your next hackathon. First thing from a team you have tab is true bit. Second thing, go on to Discord and talk to as many people as possible. Last tip from a pe- A. From a team with people from the scene. Time Zone!",1
12," Come with me to our AI hackathon event in San Francisco. So we had over 300 people flying from all over the world to build products using the latest AI technology. The first two days consisted of the group formations, helpful workshops, building, and endless snacks. On the final day, I was a preliminary judge so I got to demo about 30 of the 90 projects submitted. The final judging happened on stage and two teams walked away with $10,000 checks each. Finally, we celebrated with a cocktail party back at our office.",1
13," In 2019, I led a team of three first semester computer science students to win the United Nations World Summit on the Information Society Hack for Education. And these are my top three tips for how to pitch a winning solution. And these tips are inspired by Simon Sinek's Start with Why. And that's our first tip. Number one, Start with Why. Why is your solution relevant, either from a technical perspective or from a societal perspective? Now usually a hackathon will start with a problem. And so the temptation may be just to restate the problem that you were given. But I think this is super lame because often the jury already knows what problem you've been given. What they want to see from you is how you interpret that problem, how you understand the problem from your own perspective and from the perspective of your team. So don't restate the problem that you were given, but reinterpret it in your own imagination and explain why your solution is relevant for that specific technical problem or social issue. Tip number two, how will your solution solve the problem? Now the tendency here is to go right into the functions of your solution and try to explain what it is that your solution does. But it's really important for the jury that you connect the ways in which your solution solves a problem. So it's not good enough to just go straight into what your problem does. You need to be able to explain how your problem creates value and in which ways it solves the problem that you talked about in the why. So you're going to have to move up one step from what your solution does to try to think on a higher level about how your solution solves a specific problem. And then finally what you've all been waiting for the last tip is all about the what. So number three, what specifically does your solution do? Now it's important here to be clear and concrete. A lot of times innovators try to hide behind creating solutions that do everything for everyone where they make implicit assumptions that they may not see but the jury can pick out very easily. So be very concrete, be very specific. And this means you're going to have to be brave. This means that if you think your solution can solve a very specific problem, you need to lean into that and spell it out for them. Show them in what concrete ways your solution solves that specific problem. So top three ways of making a pitch that'll help you win a hackathon. Number one, start with why. Number two, be able to articulate how your solution creates value. And number three, be able to specify what your solution does. And here's a bonus tip no matter how much time you're given, spend 20% of that time explaining the why, spend 30% of the time explaining the how, and use 50% of the time explaining the what. So if you've got a 10 minute pitch, two minutes on the why, three minutes on the how, five minutes on the what. Good luck, you're going to do amazingly well.",1
14," Last week, me and my friends got flown out and sent to an all-experienced paid startup accelerator retreat in Sun River, Oregon. And I want to talk about how we got here. So it all actually started this year in February when me and two of my dorm friends and co-ed with Closie alumni participated in Tree Hacks, which is Stanford's biggest hackathon. If you're unfamiliar with what a hackathon is, it's a place where sweaty, both fingertips and literally people come together to build cool projects with code. At Tree Hacks, students from all over the country got flown in for a really cool weekend of coding and creating together. The event was organized super well and it was held in our engineering building. At hackathons, people sleep there and code their the entire time so it is really intense. But the organizers take really good care of us, providing free food, water, snacks, and everything else you could need. My team members and I spent the entire week coding and of course my developer environment is pink themed. We had to stay filled on caffeine, of course. At a hackathon, there are tons of different prizes, like hundreds of thousands of dollars worth of prizes, and different categories depending on what you build. My friends and I ended up building a dating app that connects people based on their shared interest and matches them automatically on their first dates. We were so obsessed with our project that we even spent a night at the building to build it. It worked out in the end though because we won the most likely to become a business prize by Neo, which is the start of Accelerator, and they ended up flying us out for the retreat as a part of the park.",1
15," If you're planning on going to a hackathon soon here, three things you need to know. Number one, add the hackathon. You should try to use the language that you haven't used before, or framework you haven't used before, or something that you really want to improve on, because you'll have a lot of time to work with that language, and you'll improve a lot. Number two, where do you over it? I'm not kidding. In-person hackathons can sometimes smell bad depending on where you're sitting. And number three, just have fun regardless of whether it's online or in-person. You're going to meet new people, meet cool people, and do a lot of cool things, and it's going to be great time.",1
16," country million对ude angular di mana.arta meter dan trebuy mana perkara價 äri. mère yang tapas sellis akan sampai settling receives 1053. 3R dapat ay dafür utara, suara turjuk dan kunangced. Antara akan pandang 180 jadi Därudi Movement céidak ersteprop Ready kadın lawai Serai baik printer main vm 8 customers. Earlier panggil Amerika besoin apabila markets contour pesad krijgen dan ceweyden perang nobi. Tetapi cik стать nemas yang isio yang dapat bagi hehehclockwisenya, disini yang Adam yang mengambil maafal dia barang tetapi untuk halangkan dalam bahagian, mereka mempunyai dan juga mempunyai sekolah. Dan juga ada lagi dengan AWS platform. The Winner's not only get exclusive merch like this unicorn plashi, but also qualify for global rounds for the chance to win US Grand Prix tickets. The day was superbet if other super fun activities, like these star wars cost pieras coming down from May to fall. I even got a serverless copy and lots of yummy food. Nenek ada day, I even got to join the AWS reps in the press briefing before my F1 race engineer rops met�ir. It was an amazing experience and I'm honestly super thankful for the AWS and all of you for getting here. We ended the day celebrating the winners and I even got the interview Steve who's in the AWS community for a while. Stay tuned because Steve's interview is coming soon.",0
17," I went to an AI hackathon this weekend and met a lot of incredible builders making everything from tools to help architects bring their visions to life, to AI wrap battles and even a co-pilot for chemistry. There are so many AI tools that are being built right now, and while I did my own hacking, you really go to these things with the community. Well, and the puppies. I sat down with a few founders and a well-known prompt engineer, Riley Goodside, and will be sharing more about what they said and what we worked on very soon. The weekend left me even more so.",1
18," What up you guys? We are Lenick Scan by today. This is made by SmeltKit, Tailwind, Clarify and GPT API. So it's simple as uploading an image and you get 4 wrap-in-the-much-repec. We have our image here, a nice sand dinner. We have our veggies, salmon, everything else and we see overall is great. We have wood protein, black and a little bit in fiber. But obviously we understand that not all images are gonna be saved on your computer. And so we made this a progressive web app so that it could be on your phone on the go whenever you need it. So we have the scan by app here. Same exact structure as it is and we'll just take a photo. A nice, healthy meal. We got our pasta chicken. It'll scan it over and in just one second it'll give us the feedback. Wow! And just so you know we didn't hard-code the values to be really good, we're gonna scan something that's maybe not the best. A little bagel for everyone. See when I was here in this morning I thought I was doing something good for my body. It turns out that it's lacking in almost everything. Unbelievable! Overall 10 protein, this is not a good meal to have for the morning. Oh geez! Thank you guys so much and you're a scam boy.",1
19," Hi, what's your name? Hi, my name is Victor. And what's your idea? So our idea is called to brand that GPT and the idea is to use live language models to automatically capture your loved ones memories and create artifacts like story books that can be preserved for future generations. Hi, what's your name? My name is Matt. And what are you building today? We are building AI podcasting platforms. So imagine you could put any two celebrities or any two people that you want to head to and you can make them talk about anything and then at the end you get a podcast that you can listen to and enjoy. Hi, what's your name? Benayak. And what are you building today? Yeah. So we're building this thing called Climanga. So it's basically like a chatbot and the chatbot you can answer it questions about climate change and it'll give you an answer from a trusted source with a citation and it'll even create like a manga for you which describes a doomsday scenario for what will happen if you don't improve or like if you don't get the government and like I guess companies to like get them to change their ways. So yeah. Hi, what's your name? Hi, I'm John Larkatrida. And what are you building today? Today we are building a semantic lensa which is kind of like a pre-send type pre-commit hook for everything that you send that's not code, emails, like messages, things like that where you can define some rules in natural language like you assert that people like or refer to products by certain names and then anything that you send internally and externally is checked by those rules using a large language model. Hi, what's your name? I'm Max. And what are you building? We're doing a disaster response system for people in the military and for responders. So the idea is for us to help first responders understand what's happening when a certain event happens. So for example, if there's a fire and someone calls the first responder then they can immediately get all the images or tweets that are related to those events.",1
20," And I said, well, how hard can it be boys do it? And then I said, how hard can it be boys do it?",0
21, Female trailer you,0
22," What we did is we basically started with the last part all the time and I also did a improvement because it's a little exaggerated and it's time to participate with our colleagues and that's time we'll be doing it with our colleagues. So since we do this, you and I will take a camera and you can put an app, you might like somewhere in the area where you can see all the shots and everything and each track. All the shots you might see is how we go ahead and how we point some others things we can prove. Before you say that, how you're at more patient. The things we do is speed, arc, releasing and whether or not we're not going to know. Obviously all the time we did two models, one's like group detection, one's for shot classification, I've heard about the shot and then there were a lot of videos involved and it came to the speed and everything. There was a comfort thing where we had to figure out what we went through the hole because we didn't have actual circle inside. We were going through three holes. Yeah, but didn't you all use stable diffusion? Yeah, you know. Do you want to talk about that? That's what made it a little bit easier. Yeah, I think we saved a few things. I think a lot of people used it like we thought it would make all these things. I really cool use case, we used like a trained data for boots. We have a lot of data, we know how we take things, but there's something much more complicated, it's hard to find data. I think the stable diffusion is really cool. You can use that to add your data to that stuff. It's very information or what you're just putting that on the list. So yeah, you're just a little bit more patient.",1
23, Our Hackathon idea.,0
24," This is how I got paid to travel around the world and code. A couple of really awesome groups like these that will actually pay for your travel stipend to go to international hackathons. Let's say you win the hackathon, you get to keep bound to rise. I'm going to travel to Bogota, code for two days, attend Deb Con for free, and meet really awesome people. And so can you. So apply these scholarships. You can learn how to code and travel for free.",1
25," TB to the time, we won first runner up in DLS. You have to.",0
26," I like the way you can speak, I can tell you this, I can tell you this, this, this, this, this I try to be romantic, I'll hit it from the back just so you don't get attached",0
27," If you're in computer science, you should try out doing a hackathon. A hackathon is basically a 12 to 48 hour period where you work on one coding project continuously. A lot of events give you free merch, which is really cool, free food, if it's in person, and a lot of cool, free things. Plus, by working on one project continuously for a whole weekend or whatever time period it is, you learn a lot of new information and you improve your skills and you end up having a cool side project to put on your portfolio. Of course, hackathons aren't for everybody because not everybody likes doing code for a whole weekend, but it is something you should try at least once in your life. If you're in college, check out NLich.io to find some hackathons to participate in. This also works for high school students.",1
28," Yo, mi corazón Mom! Sir! Sir! Sir! Sir! Sir! Sir! Sir!",0
29, I'm not important yet If you would this scene I don't move it Screen is a cold air helping hands If the world gets me where I'm supposed to be Will I know I've made it then? It's so cold Can we skip to the good part?,0
30, I'm the time I feel safe You show the lights that stop me Turn to star Only shine me when I'm alone,0
31," How do you prepare for a hackathon for Capture the Flag? Okay, so this is a good question. Do you want to prepare for a Capture the Flag competition? Look up online of the previous Capture the Flag questions or the previous competitions and see what the questions are like. And then look up the solutions because a lot... There are video solutions. I did some Capture the Flag contests like a Pico CTF back in high school. And in like previous years they do have like tutorials and how what they did to like break into the system to find the flag. What they did to create the scripts and stuff, stuff like that. So yeah, some of them are just bash scripting, some of them is Python scripting. Keep in mind these are not large programs or kind of just small programs you write. Break into the system. Some of them was C code as well. But yeah, if you do well and capture the flag, it does help a lot. I would recommend doing it in high school or college because it helps you in cyber security and you could stand out this way. So yeah, there's also some cash prizes. Hope this helps. Peace.",1
32, I'm ready for their song I'll dance and dance with my hands and have them on my head Like Jesus said I'm on a dance and dance with my hands and have them on my head Like Jesus said I'm on a dance,0
33," I like the way you kiss me, I can tell you this, I can tell you this, this, this, this, this, this, this, this, I'm trying to be romantic.",0
34," This time around we have set a world record where we have won the world's first ICA Congress hackathon which was in Abu Dhabi at Adnec from the 9th to the 13th of October. We were consisting of five students and myself where we worked on a project to create a media management system for the National Library Archives. Our project was equipped with artificial intelligence and large language models and it was a great experience. I specialized in data science and this opportunity expanded my horizons so I could see the applications of the skills in my field with other sectors like archives. It allowed me to utilize my past to help guide our future making decisions. A standout moment for me was when we had a fireball discussion with his excellency Abdelarra A.C. He talked to us about our nation's values and how we can utilize that to guide our future decision making. He also talked to us about Shia Zayed and his leadership style how he was informed about all sectors and how he cultivated other leaders. The opportunity was amazing. There were other universities involved so it was a challenge coming up with an innovative idea that stood out. However, we worked as a team and came out of the hackathon as winners. We've been there working on the problem that was given to us which is a developing system to manage the IUA historical data like the pictures, videos and the interviews of the leaders. So it was an interesting hackathon. We have a team who came up from the IWA University. We worked closely so overall it was a nice experience for me in the lab teach.",1
35," Just nice song cover appears Nice song A mans part Go together Nice part So what are you guys doing? Thank you, that's good. Oh, wow, that is good. Oh, yes, the next move. This move. Oh, no, no, no. Yeah, I'm broke and break and got it in me. It's all my life. It's done! Woo! Let's go!",0
36, No sleep. Bus. Club. Another club. Another club. Another club. Plain. Next place. No sleep.,0
37," Hey students, are you looking for something to alleviate your creativity and skills? Seneca Hackathon 2024 is your golden ticket. But what exactly is the Hackathon? It's not just a contest. It's an inefficient playground where creativity meets problem solving. You've got to see what the brilliant minds who are creative, tech savvy, and all hungry to tackle real world challenges. You've got to create something with being a sharp period of time, and app, websites, or even something that we don't even know. Expert mentors and tech professionals will be your partner. Together you create mind-blowing solutions to tackle real-life problems and then you present an infant of a panel of cool experts, such as investors, partners, and school reps. Stay tuned for more updates about Seneca Hackathon 2024. See you soon!",1
38," DataThong this weekend. What am I gonna do? It's okay Jake, we got three tips for you! Tip number one. Memorize your Python libraries, your data science libraries, your different programming languages, our, SQL, and that's my tip. Make sure to brush up on your presentation skills because it'll be important to judging. Also make sure to go take breaks through DataThong by going to socials. Wow, thanks guys. I feel so much better now.",1
39," Types of people at Hack Events. I am so nervous. I do not know what to build. What's up, nerds? What are we building today? Yeah, so I definitely didn't think I'd need my laptop for this.",1
40," I had posted some TikToks that I would go to Empire City, Casino, and Yonkers. And I would be able to turn $500 into $30,000 playing digital backer app. And people are like, no way, dudes cap in, that's not possible. And those same people that were commenting probably never gambled a day in their life. Anyways, let me break it down for you, how I was able to win that much money so many times playing backer app. Now with digital backer app, there's no live dealer. It's just on a screen. Usually I would like to go with a bank role of like $2,500. But when I was desperate and had less, I would still go. And I would sit there watching the patterns on the screen, tells you what the last several outcomes of the last hands were. So I would wait until there was a definitive pattern. For instance, it was player player player, two bankers, and then a player I was realizing was 321. So I would keep betting on that pattern. But I wouldn't just make a small bet. I was going all in. Another thing I waited for was streaks. If I saw a player or banker going more than three or four hands in a row, winning, I would keep riding it until it lost. So say I put $800 on player every time until it eventually lost. Be some days where player would do 20 wins in a row. That's how I was able to win that much money in such a short time span. I think to play backer app the way I was describing it, have to have a lot of patience and you have to not be afraid to take in the risk when those streaks come.",1
